MsgID.GLOBAL_POSITION,0.0000000,-122.3966482,37.7931897,8.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0300000,0.1100000
MsgID.LOCAL_POSITION,73.3260000,78.8086090,71.5564880,-8.0258465
MsgID.LOCAL_VELOCITY,73.3260000,0.0118088,-0.0350590,0.1103655
MsgID.GLOBAL_POSITION,0.0000000,-122.3966485,37.7931903,8.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0300000,0.1100000
MsgID.LOCAL_POSITION,73.5760000,78.8806000,71.5316315,-8.0281715
MsgID.LOCAL_VELOCITY,73.5760000,0.0116362,-0.0313751,0.1158584
MsgID.GLOBAL_POSITION,0.0000000,-122.3966484,37.7931902,8.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.1300000
MsgID.LOCAL_POSITION,73.8260000,78.8630981,71.5443420,-8.0300055
MsgID.LOCAL_VELOCITY,73.8260000,0.0082011,-0.0259589,0.1314425
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966470,37.7931912,8.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.1100000
MsgID.LOCAL_POSITION,74.0760000,78.9758682,71.6640320,-8.0265579
MsgID.LOCAL_VELOCITY,74.0760000,0.0070839,-0.0233748,0.1116320
MsgID.GLOBAL_POSITION,0.0000000,-122.3966471,37.7931912,8.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,0.0900000
MsgID.LOCAL_POSITION,74.3260000,78.9740906,71.6615753,-8.0344963
MsgID.LOCAL_VELOCITY,74.3260000,0.0038411,-0.0306877,0.0968079
MsgID.GLOBAL_POSITION,0.0000000,-122.3966483,37.7931893,8.0270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,0.0600000
MsgID.LOCAL_POSITION,74.5760000,78.7641373,71.5499420,-8.0279722
MsgID.LOCAL_VELOCITY,74.5760000,-0.0081739,-0.0303456,0.0652953
MsgID.GLOBAL_POSITION,0.0000000,-122.3966489,37.7931911,8.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0600000
MsgID.LOCAL_POSITION,74.8260000,78.9592590,71.4951324,-8.0257635
MsgID.LOCAL_VELOCITY,74.8260000,0.0043851,-0.0209745,0.0624062
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966474,37.7931919,8.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0300000
MsgID.LOCAL_POSITION,75.0760000,79.0479126,71.6338043,-8.0186863
MsgID.LOCAL_VELOCITY,75.0760000,0.0057052,-0.0148103,0.0344029
MsgID.GLOBAL_POSITION,0.0000000,-122.3966487,37.7931918,8.0200000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0200000,-0.0400000
MsgID.LOCAL_POSITION,75.3260000,79.0391846,71.5169449,-8.0204678
MsgID.LOCAL_VELOCITY,75.3260000,-0.0119249,-0.0225841,-0.0495539
MsgID.GLOBAL_POSITION,0.0000000,-122.3966494,37.7931905,8.0250000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,0.0500000
MsgID.LOCAL_POSITION,75.5760000,78.8954163,71.4508057,-8.0253592
MsgID.LOCAL_VELOCITY,75.5760000,-0.0190230,-0.0181983,0.0545990
MsgID.GLOBAL_POSITION,0.0000000,-122.3966491,37.7931900,8.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,75.8260000,78.8458557,71.4784164,-8.0187778
MsgID.LOCAL_VELOCITY,75.8260000,-0.0086820,-0.0096745,0.0034138
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966492,37.7931895,8.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,76.0770000,78.7911987,71.4748535,-8.0194397
MsgID.LOCAL_VELOCITY,76.0770000,0.0036379,-0.0088657,0.0133606
MsgID.GLOBAL_POSITION,0.0000000,-122.3966492,37.7931887,8.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,76.3270000,78.6974335,71.4710388,-8.0258017
MsgID.LOCAL_VELOCITY,76.3270000,0.0099329,-0.0083496,-0.0044691
MsgID.GLOBAL_POSITION,0.0000000,-122.3966492,37.7931897,8.0240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,0.0300000
MsgID.LOCAL_POSITION,76.5770000,78.8126297,71.4683151,-8.0247459
MsgID.LOCAL_VELOCITY,76.5770000,0.0242317,-0.0067318,0.0399263
MsgID.GLOBAL_POSITION,0.0000000,-122.3966490,37.7931908,8.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,76.8270000,78.9310760,71.4878769,-8.0193539
MsgID.LOCAL_VELOCITY,76.8270000,0.0211272,-0.0076734,0.0117471
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966486,37.7931905,8.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.0500000
MsgID.LOCAL_POSITION,77.0770000,78.8991013,71.5278168,-8.0268888
MsgID.LOCAL_VELOCITY,77.0770000,0.0065487,-0.0102417,-0.0564184
MsgID.GLOBAL_POSITION,0.0000000,-122.3966475,37.7931905,8.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0600000
MsgID.LOCAL_POSITION,77.3270000,78.8982162,71.6214676,-8.0213032
MsgID.LOCAL_VELOCITY,77.3270000,0.0018296,-0.0161467,0.0621498
MsgID.GLOBAL_POSITION,0.0000000,-122.3966480,37.7931911,8.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0000000
MsgID.LOCAL_POSITION,77.5770000,78.9697647,71.5751801,-8.0142746
MsgID.LOCAL_VELOCITY,77.5770000,0.0019992,-0.0253130,-0.0075966
MsgID.GLOBAL_POSITION,0.0000000,-122.3966499,37.7931917,8.0230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.0400000
MsgID.LOCAL_POSITION,77.8270000,79.0344543,71.4121933,-8.0237360
MsgID.LOCAL_VELOCITY,77.8270000,-0.0012350,-0.0235509,-0.0403066
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3966495,37.7931901,8.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0300000
MsgID.LOCAL_POSITION,78.0770000,78.8582535,71.4411316,-8.0197315
MsgID.LOCAL_VELOCITY,78.0770000,-0.0098720,-0.0123988,0.0371803
MsgID.LOCAL_POSITION,78.3270000,78.7944641,71.4429092,-8.0203867
MsgID.LOCAL_VELOCITY,78.3270000,-0.0030766,-0.0027836,-0.0269661
MsgID.GLOBAL_POSITION,0.0000000,-122.3966495,37.7931896,8.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0200000
MsgID.LOCAL_POSITION,78.5770000,78.8445892,71.3789825,-8.0288372
MsgID.LOCAL_VELOCITY,78.5770000,0.0082771,-0.0028685,0.0183428
MsgID.GLOBAL_POSITION,0.0000000,-122.3966502,37.7931900,8.0280000
